id,date,time,description,repeat
21,2025-03-05,11:45,для теста инерции,
22,2025-03-05,12:00,для теста инерции,
23,2025-03-05,12:15,для теста инерции,
24,2025-03-05,12:30,для теста инерции,
31,2025-04-08,09:00,день рождения Гавриша,год
32,2025-04-20,21:01,пора на чистку зубов,
33,2025-05-03,10:30,проверить гринкарту,
34,2025-06-05,13:29,В июне дела могут затормозиться: вам будут рассказывать, как правильно жить, вести бизнес, строить планы. Не слушайте окружающих, прите напролом дальше.,
35,2025-06-20,10:00,поменять подписку Яндекса на амедиатеку,
36,2025-10-14,11:00,Паша Орлов день рождения,год
37,2025-11-04,08:41,заменить фильтры,
38,2026-01-21,10:45,заканчивается полис страхования жизни в Славе,год
39,2026-02-01,10:00,ДР Наташи Кузнецовой,год
40,2026-03-04,07:56,День рождения Вивальди,год
41,2025-03-04,13:11,будь теплее в общении!,день
42,2025-03-04,15:11,будь теплее в общении!,день
43,2025-03-04,15:15,Комфортно тебе или нет? Что чувствуешь?,день
44,2025-03-04,17:11,улыбнись!,день
45,2025-03-04,18:00,заменить фильтр номер 2 и поставить таймер на 120 дней,
46,2025-03-04,18:15,Комфортно тебе или нет? Что чувствуешь?,день
47,2025-03-04,19:11,улыбнись!,день
48,2025-03-04,21:15,Комфортно тебе или нет? Что чувствуешь?,день
49,2025-03-04,21:30,дуолингво,день
50,2025-03-04,21:30,глюкофаж,день
51,2025-03-04,21:45,рыбы,день
52,2025-03-04,21:45,капы,день
53,2025-03-05,07:45,таблетки, магний, омега-3, авкадетрим,день
54,2025-03-05,08:00,взять планшет,среда
55,2025-03-05,08:00,коробки,
56,2025-03-05,09:11,улыбнись!,день
57,2025-03-05,10:00,- Оцениваем отношения с людьми: что на самом деле этот человек во мне ценит – мой комфорт или меня как личность с моими ценностями и мнением? - Как реагирует на дискомфорт от меня (отказ, несогласие, игнорирование)? - Подтверждается ли гипотеза, что человек отворачивается. И если да – можно ли сделать вывод о неискренности изначальных отношений?,день
58,2025-03-05,11:11,улыбнись!,день
59,2025-03-05,11:15,Комфортно тебе или нет? Что чувствуешь?,день
60,2025-03-05,18:19,помочь Вовкиной маме,месяц
61,2025-03-05,23:11,тест, 
62,2025-03-05,23:12,и два часа тест,
63,2025-03-06,10:00,прикупить usdt,месяц
64,2025-03-08,07:00,взесимся,суббота
65,2025-03-08,07:00,семавик,суббота
66,2025-03-10,15:00,оплатить психолога,понедельник
67,2025-03-11,11:00,Федя, сегодня Раичка,вторник
68,2025-03-15,08:52,внести счётчики,месяц
69,2025-03-23,10:00,пополнить кредиты ХКФ, МТС, КЕБ,месяц
70,2025-04-01,10:22,помыть фильтры кондиционеров,месяц
